date,code,open,high,low,close
2019-03-22,sh.000001,3100.7260,3107.2750,3064.8840,3104.1480
2019-03-22,sh.000002,3247.6380,3254.5000,3210.0300,3251.1980
2019-03-22,sh.000003,307.8760,309.0790,306.5050,309.0780
2019-03-22,sh.000004,2431.8560,2439.2920,2403.4250,2438.1370
2019-03-22,sh.000005,3037.2240,3047.6530,2980.1210,3028.9830
2019-03-22,sh.000006,7305.3720,7334.9910,7218.2370,7321.9980
2019-03-22,sh.000007,5498.1030,5528.7180,5452.6670,5528.2180
2019-03-22,sh.000008,2942.0850,2949.0510,2908.2840,2938.2880
2019-03-22,sh.000009,5068.6790,5103.8420,5006.9020,5099.7250
2019-03-22,sh.000010,8468.8200,8487.1170,8364.6190,8450.7480
2019-03-22,sh.000011,6234.9300,6245.0960,6192.4410,6241.1300
2019-03-22,sh.000012,171.7490,171.7550,171.7430,171.7530
2019-03-22,sh.000013,229.1700,229.1930,229.1650,229.1930
2019-03-22,sh.000015,2915.0090,2927.8120,2886.1970,2926.4720
2019-03-22,sh.000016,2804.7170,2813.5150,2771.9560,2795.3900
2019-03-22,sh.000017,2618.5730,2624.1060,2588.2540,2621.4470
2019-03-22,sh.000018,5555.1230,5570.5630,5471.7210,5522.5050
2019-03-22,sh.000019,1069.2340,1071.1430,1056.4150,1068.5350
2019-03-22,sh.000020,1136.5960,1145.4790,1122.0770,1142.9830
2019-03-22,sh.000021,982.1390,983.4800,969.6390,978.9310
2019-03-22,sh.000022,195.2100,195.2250,195.2030,195.2180
2019-03-22,sh.000025,1847.3720,1855.7140,1833.8950,1855.7140
2019-03-22,sh.000026,2395.0830,2398.5280,2364.1560,2389.2030
2019-03-22,sh.000027,1123.8130,1141.3970,1116.4290,1138.6360
2019-03-22,sh.000028,3356.5150,3367.7710,3321.0270,3352.7270
2019-03-22,sh.000029,4102.9600,4108.0270,4057.0300,4090.7790
2019-03-22,sh.000030,2109.3350,2115.8220,2084.7070,2107.3350
2019-03-22,sh.000031,3050.1840,3054.7000,3011.3350,3041.3310
2019-03-22,sh.000032,1468.7910,1469.3360,1449.2340,1466.6780
2019-03-22,sh.000033,2008.8100,2012.2140,1983.5220,2009.2130
2019-03-22,sh.000034,2220.5840,2225.0720,2202.0150,2224.3850
2019-03-22,sh.000035,2461.2960,2478.9380,2440.1310,2478.9380
2019-03-22,sh.000036,9223.3680,9302.6890,9134.7170,9258.6250
2019-03-22,sh.000037,6478.9350,6544.9380,6420.3340,6543.1160
2019-03-22,sh.000038,5406.8110,5419.1060,5330.1300,5374.6320
2019-03-22,sh.000039,3583.9320,3604.6120,3506.0950,3583.6000
2019-03-22,sh.000040,3299.5920,3305.5200,3234.0110,3281.4100
2019-03-22,sh.000041,2080.6680,2101.5460,2067.3830,2100.6900
2019-03-22,sh.000042,1599.8820,1602.6190,1582.2710,1598.9400
2019-03-22,sh.000043,2434.7890,2439.2600,2402.5320,2430.6360
2019-03-22,sh.000044,3524.1980,3533.1430,3475.4720,3524.0220
2019-03-22,sh.000045,4293.1400,4326.5290,4240.7930,4322.3850
2019-03-22,sh.000046,3892.4580,3908.4630,3841.7770,3903.9850
2019-03-22,sh.000047,3269.2870,3276.1690,3229.8990,3268.7870
2019-03-22,sh.000048,1474.7770,1477.2380,1455.3390,1471.9890
2019-03-22,sh.000049,1731.7160,1732.1540,1700.2820,1723.8280
2019-03-22,sh.000050,2353.4410,2356.9500,2324.6000,2347.1200
2019-03-22,sh.000051,8569.0930,8593.4250,8448.6240,8571.6090
2019-03-22,sh.000052,3065.0930,3071.1100,3028.8140,3053.6680
2019-03-22,sh.000053,11245.0100,11261.9000,11107.9200,11218.3600
2019-03-22,sh.000054,1355.5880,1359.0930,1338.4880,1351.3080
2019-03-22,sh.000056,1052.7470,1055.4910,1041.4050,1052.3230
2019-03-22,sh.000057,3839.9110,3849.8500,3793.9750,3831.8370
2019-03-22,sh.000058,4146.7110,4151.2250,4099.6520,4135.4490
2019-03-22,sh.000059,2846.9590,2855.8180,2812.5660,2850.9940
2019-03-22,sh.000060,3641.2750,3647.1620,3597.2770,3637.0810
2019-03-22,sh.000061,154.3300,154.3510,154.3150,154.3150
