date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018-03-26,sh.601318,69.2000,69.9700,66.9800,68.2800,70.3000,138098519,9441425605.0000,3,1.274834,1,-2.873406,0
2018-03-27,sh.601318,69.5800,69.6600,67.5000,68.1600,68.2800,103992027,7111483067.0000,3,0.959986,1,-0.175740,0
2018-03-28,sh.601318,67.0000,67.6800,64.8800,65.4000,68.1600,142078782,9380984826.0000,3,1.311577,1,-4.049299,0
2018-03-29,sh.601318,65.4200,67.2800,63.5100,66.3900,65.4000,146254573,9514381379.0000,3,1.350126,1,1.513758,0
2018-03-30,sh.601318,66.0100,66.2700,64.8000,65.3100,66.3900,84202251,5499095858.0000,3,0.777300,1,-1.626754,0
2018-04-02,sh.601318,64.2500,66.2500,64.2200,64.6600,65.3100,80555909,5242356770.0000,3,0.743639,1,-0.995244,0
2018-04-03,sh.601318,63.9500,64.9500,63.8400,64.5100,64.6600,60407068,3885145804.0000,3,0.557638,1,-0.231985,0
2018-04-04,sh.601318,64.9000,65.5800,63.9800,64.5500,64.5100,67998953,4414551485.0000,3,0.627721,1,0.062007,0
2018-04-09,sh.601318,64.9900,65.9900,64.0500,65.9600,64.5500,71614285,4679345562.0000,3,0.661096,1,2.184347,0
2018-04-10,sh.601318,65.6900,68.4000,65.3900,68.2500,65.9600,90513972,6064986129.0000,3,0.835565,1,3.471802,0
2018-04-11,sh.601318,68.3000,68.5700,67.4800,67.6700,68.2500,72092432,4894354063.0000,3,0.665510,1,-0.849819,0
2018-04-12,sh.601318,67.9100,67.9700,66.6900,66.7200,67.6700,54450250,3659539916.0000,3,0.502649,1,-1.403867,0
2018-04-13,sh.601318,67.4300,67.4500,66.0500,66.1800,66.7200,46638574,3114028929.0000,3,0.430536,1,-0.809354,0
2018-04-16,sh.601318,66.0100,66.6600,63.8800,64.3000,66.1800,80963957,5244687540.0000,3,0.747406,1,-2.840733,0
2018-04-17,sh.601318,64.4400,64.8600,62.8300,63.1300,64.3000,83167288,5312790696.0000,3,0.767745,1,-1.819599,0
2018-04-18,sh.601318,63.7800,63.9500,62.6000,63.5100,63.1300,76484549,4841197668.0000,3,0.706055,1,0.601928,0
2018-04-19,sh.601318,63.9000,64.9500,63.6600,64.4800,63.5100,72647375,4680959624.0000,3,0.670633,1,1.527326,0
2018-04-20,sh.601318,64.2000,64.8700,63.5100,64.1500,64.4800,60334073,3871514930.0000,3,0.556964,1,-0.511789,0
2018-04-23,sh.601318,64.1500,65.1600,63.7800,64.9900,64.1500,54446666,3516175405.0000,3,0.502616,1,1.309425,0
2018-04-24,sh.601318,65.4000,67.0600,65.2800,66.5600,64.9900,90695407,6024928823.0000,3,0.837240,1,2.415756,0
2018-04-25,sh.601318,66.0400,66.4600,65.3100,65.5000,66.5600,47782761,3141687154.0000,3,0.441099,1,-1.592544,0
2018-04-26,sh.601318,65.6800,65.8900,62.8100,63.1200,65.5000,84155382,5364614954.0000,3,0.776867,1,-3.633589,0
2018-04-27,sh.601318,63.5500,63.7300,58.3400,60.8900,63.1200,260286257,15747812239.0000,3,2.402791,1,-3.532953,0
2018-05-02,sh.601318,61.3600,61.7900,60.7500,61.3400,60.8900,70890842,4341690751.0000,3,0.654417,1,0.739039,0
2018-05-03,sh.601318,60.8800,61.5800,59.9000,61.4400,61.3400,62912538,3831120277.0000,3,0.580767,1,0.163023,0
2018-05-04,sh.601318,61.3300,61.6400,60.6400,60.7100,61.4400,44158675,2694568405.0000,3,0.407644,1,-1.188150,0
2018-05-07,sh.601318,60.5500,61.4700,59.7100,61.1900,60.7100,82944783,5035372512.0000,3,0.765691,1,0.790643,0
2018-05-08,sh.601318,61.3600,63.8800,61.2400,63.0800,61.1900,117472062,7388303870.0000,3,1.084424,1,3.088745,0
2018-05-09,sh.601318,63.1000,63.4000,62.5200,62.9500,63.0800,48443100,3048008852.0000,3,0.447195,1,-0.206089,0
2018-05-10,sh.601318,63.3000,63.7500,62.6100,63.1800,62.9500,49817832,3143778292.0000,3,0.459885,1,0.365369,0
2018-05-11,sh.601318,63.5800,63.6600,62.8100,63.1000,63.1800,45210551,2859210137.0000,3,0.417354,1,-0.126625,0
2018-05-14,sh.601318,63.7000,64.5800,63.5000,64.1000,63.1000,68370916,4387898493.0000,3,0.631155,1,1.584786,0
2018-05-15,sh.601318,64.5000,64.5900,63.4000,63.9700,64.1000,52952916,3376776321.0000,3,0.488826,1,-0.202804,0
2018-05-16,sh.601318,63.6800,63.9200,62.6300,62.8100,63.9700,55951439,3539081154.0000,3,0.516507,1,-1.813350,0
2018-05-17,sh.601318,63.0900,63.1900,61.9400,62.0000,62.8100,47778223,2981258093.0000,3,0.441057,1,-1.289606,0
2018-05-18,sh.601318,61.8800,63.1200,61.5900,63.0400,62.0000,56625326,3532704058.0000,3,0.522728,1,1.677421,0
2018-05-21,sh.601318,63.5500,64.1500,63.2700,63.6600,63.0400,70506571,4492367179.0000,3,0.650870,1,0.983501,0
2018-05-22,sh.601318,63.5800,63.8400,62.5000,63.0100,63.6600,43769214,2757950408.0000,3,0.404048,1,-1.021052,0
2018-05-23,sh.601318,62.9500,62.9500,61.6700,61.7600,63.0100,56915452,3531232659.0000,3,0.525406,1,-1.983812,0
2018-05-24,sh.601318,61.9600,62.2700,61.1600,61.2200,61.7600,44151327,2725820768.0000,3,0.407576,1,-0.874348,0
2018-05-25,sh.601318,61.3800,62.1800,61.3400,61.5300,61.2200,35392969,2183913985.0000,3,0.326725,1,0.506367,0
2018-05-28,sh.601318,61.8000,62.8800,61.5500,62.5000,61.5300,45894875,2861428758.0000,3,0.423671,1,1.576469,0
2018-05-29,sh.601318,62.3200,62.6600,61.3000,62.3800,62.5000,63647446,3944873803.0000,3,0.587551,1,-0.191998,0
2018-05-30,sh.601318,61.3100,61.7000,60.5800,60.6500,62.3800,49083664,2998177225.0000,3,0.453108,1,-2.773324,0
2018-05-31,sh.601318,61.1100,62.1800,60.7100,62.1300,60.6500,66538831,4096852001.0000,3,0.614243,1,2.440230,0
2018-06-01,sh.601318,61.9100,62.1900,61.2800,61.6400,62.1300,40800764,2516195954.0000,3,0.376646,1,-0.788672,0
2018-06-04,sh.601318,62.1000,63.7100,61.9000,63.5300,61.6400,85889740,5418564799.0000,3,0.792877,1,3.066190,0
2018-06-05,sh.601318,63.5900,65.0000,63.2100,64.5800,63.5300,88517255,5683935967.0000,3,0.817133,1,1.652767,0
2018-06-06,sh.601318,64.4300,64.4500,63.7100,63.8100,64.5800,49022028,3140622782.0000,3,0.452539,1,-1.192320,0
