date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-03-22 15:00:00,46.14,46.15,46.14,46.1,7986.48,0.0,0.0,46.1,46.131,46.1125,8220.18,7324.74,6677.3,0.01
2019-03-22 14:55:00,46.13,46.14,46.13,46.12,9586.72,0.0,0.0,46.092,46.129,46.106,7875.47,7360.13,6548.48,0.02
2019-03-22 14:50:00,46.1,46.13,46.13,46.1,7696.96,0.03,0.07,46.09,46.127,46.0995,6704.02,6926.43,6451.99,0.01
2019-03-22 14:45:00,46.0,46.1,46.1,45.99,6327.16,0.1,0.22,46.102,46.122,46.096,6685.26,6541.71,6403.28,0.01
2019-03-22 14:40:00,46.09,46.09,46.0,46.0,9503.56,-0.09,-0.2,46.126,46.123,46.0865,7112.94,6683.52,6484.91,0.02
2019-03-22 14:35:00,46.11,46.12,46.1,46.09,6262.96,-0.01,-0.02,46.162,46.132,46.0845,6429.31,6287.44,6159.64,0.01
2019-03-22 14:30:00,46.18,46.19,46.12,46.11,3729.44,-0.06,-0.13,46.166,46.137,46.072,6844.78,6124.79,6098.32,0.01
2019-03-22 14:25:00,46.22,46.26,46.19,46.18,7603.16,-0.03,-0.06,46.164,46.133,46.0595,7148.85,6477.91,6144.09,0.01
2019-03-22 14:20:00,46.19,46.25,46.22,46.19,8465.6,0.03,0.06,46.142,46.127,46.042,6398.16,6355.18,6220.59,0.01
2019-03-22 14:15:00,46.14,46.18,46.18,46.14,6085.4,0.04,0.09,46.12,46.106,46.022,6254.09,5974.03,6243.12,0.01
2019-03-22 14:10:00,46.12,46.12,46.12,46.07,8340.32,0.0,0.0,46.102,46.094,46.005,6145.58,6029.86,6658.24,0.01
2019-03-22 14:05:00,46.07,46.12,46.11,46.07,5249.76,0.04,0.09,46.108,46.083,45.9945,5404.8,5736.83,6798.12,0.01
2019-03-22 14:00:00,46.11,46.11,46.08,46.06,3849.74,-0.03,-0.07,46.102,46.072,45.984,5806.97,5977.55,7307.15,0.01
2019-03-22 13:55:00,46.09,46.19,46.11,46.06,7745.22,0.02,0.04,46.112,46.07,45.9835,6312.2,6264.85,7381.99,0.01
2019-03-22 13:50:00,46.16,46.19,46.09,46.09,5542.84,-0.07,-0.15,46.092,46.05,45.984,5693.97,6286.3,7200.28,0.01
2019-03-22 13:45:00,46.05,46.16,46.15,46.05,4636.46,0.1,0.22,46.086,46.037,45.9855,5914.14,6031.83,7258.01,0.01
2019-03-22 13:40:00,46.13,46.16,46.08,46.06,7260.6,-0.05,-0.11,46.058,46.007,45.9845,6068.85,6071.84,7259.35,0.01
2019-03-22 13:35:00,46.02,46.13,46.13,46.01,6375.9,0.11,0.24,46.042,45.986,45.9845,6148.13,5810.27,7703.12,0.01
2019-03-22 13:30:00,46.07,46.09,46.01,46.01,4654.04,-0.06,-0.13,46.028,45.957,45.986,6217.49,6086.0,7726.2,0.01
2019-03-22 13:25:00,46.01,46.1,46.06,46.0,6643.68,0.05,0.11,46.008,45.938,45.994,6878.63,6512.2,8227.05,0.01
2019-03-22 13:20:00,46.02,46.04,46.01,46.0,5410.04,-0.01,-0.02,45.988,45.916,46.002,6149.53,7286.63,8402.54,0.01
2019-03-22 13:15:00,46.08,46.13,46.0,45.99,7657.0,-0.08,-0.17,45.956,45.906,46.0165,6074.83,7859.41,8614.79,0.01
2019-03-22 13:10:00,45.91,46.06,46.06,45.9,6722.68,0.15,0.33,45.93,45.896,46.036,5472.42,8636.75,8822.56,0.01
2019-03-22 13:05:00,45.96,45.99,45.91,45.89,7959.74,-0.05,-0.11,45.886,45.897,46.057,5954.52,8499.14,8814.32,0.01
2019-03-22 11:30:00,45.85,45.97,45.96,45.85,2998.18,0.11,0.24,45.868,45.918,46.087,6145.78,8114.26,8947.76,0.01
2019-03-22 11:25:00,45.87,45.88,45.85,45.81,5036.54,-0.02,-0.04,45.844,45.934,46.12,8423.74,8484.19,9773.22,0.01
2019-03-22 11:20:00,45.84,45.87,45.87,45.84,4644.94,0.03,0.07,45.856,45.962,46.158,9643.99,8446.86,10527.4,0.01
2019-03-22 11:15:00,45.82,45.88,45.84,45.8,9133.2,0.02,0.04,45.862,45.983,46.1855,11801.1,9595.96,11212.6,0.02
2019-03-22 11:10:00,45.83,45.92,45.82,45.81,8916.02,-0.01,-0.02,45.908,46.015,46.216,11043.8,9366.39,11973.7,0.01
2019-03-22 11:05:00,45.92,45.92,45.84,45.81,14388.0,-0.08,-0.17,45.968,46.05,46.2385,10082.7,9941.89,11728.5,0.02
2019-03-22 11:00:00,45.91,45.97,45.91,45.9,11137.8,0.0,0.0,46.024,46.088,46.2575,8544.64,9518.44,11644.7,0.02
2019-03-22 10:55:00,46.07,46.08,45.9,45.9,15430.4,-0.17,-0.37,46.068,46.127,46.277,7249.74,9370.18,11614.4,0.03
2019-03-22 10:50:00,46.12,46.12,46.07,46.05,5346.56,-0.05,-0.11,46.104,46.176,46.301,7390.84,9008.38,11409.6,0.01
2019-03-22 10:45:00,46.11,46.12,46.12,46.07,4110.94,0.01,0.02,46.122,46.217,46.3115,7689.03,9129.5,11451.6,0.01
2019-03-22 10:40:00,46.13,46.17,46.12,46.04,6697.48,-0.01,-0.02,46.132,46.256,46.315,9801.04,9781.27,11561.6,0.01
2019-03-22 10:35:00,46.08,46.14,46.13,46.07,4663.3,0.05,0.11,46.152,46.306,46.319,10492.2,11062.3,11632.4,0.01
2019-03-22 10:30:00,46.16,46.16,46.08,46.01,16135.9,-0.08,-0.17,46.186,46.354,46.325,11490.6,12608.0,11681.7,0.03
2019-03-22 10:25:00,46.17,46.2,46.16,46.13,6837.54,-0.01,-0.02,46.248,46.388,46.3325,10625.9,12829.3,11253.9,0.01
